id,root_id,name,start_time,assigned_role,special_role,antag_roles,leave_type,leave_time
9071,49292,Kameron Dean,00:01,Security Officer,"",,Cryopod,00:25
9072,49292,Gerss Pharengeit,00:00,Security Officer,"",,Ghosted,00:30
9073,49292,Alfred Addison,00:00,Scientist,"",,Ghosted,00:43
9074,49292,Troy Orgail,00:44,"","",,Ghosted,00:47
9075,49292,mouse (659),00:43,Animal,"",,Ghosted,00:52
9076,49292,Dorothy Woodward,00:32,Chemist,"",,Cryopod,00:53
9077,49292,Max Russell,00:06,Scientist,"",,Ghosted,00:57
9078,49292,Radik Kuzakin,00:00,Chief Medical Officer,"",,Cryopod,00:57
9079,49292,Alfred Addison,00:00,Scientist,"",,Cryopod,00:58
9080,49292,Rick Shorts,00:05,Test Subject,"",,Ghosted,01:11
9081,49292,John Gardner,00:00,Chaplain,"",,Ghosted,01:13
9082,49292,Archie Moore,00:00,Forensic Technician,Thrall,{Thrall},Ghosted,01:19
9083,49292,PBU-343,00:31,Cyborg,"",,Ghosted,01:31
9084,49292,Archie Moore,00:00,Forensic Technician,Thrall,{Thrall},Cryopod,01:34
9085,49292,JLLO-557,00:02,Cyborg,"",,Ghosted,01:37
9086,49292,mouse (310),01:39,Animal,"",,Ghosted,01:41
9087,49947,Karlos Lopes,00:00,Botanist,"",,Cryopod,00:46
9088,49947,Aidan Mcfall,00:00,Test Subject,"",,Ghosted in Cryopod,01:04
9089,49947,mouse (761),00:57,Animal,"",,Ghosted,01:09
9090,49947,Lerry Pumpkins,00:00,Test Subject,"",,Cryopod,01:14
9091,49947,Jon Ers,00:00,Research Director,"",,Cryopod,01:16
9092,49947,Edwin Teagarden,00:00,Roboticist,"",,Cryopod,01:19
9093,49947,Ruben Foster,00:00,Scientist,"",,Ghosted,01:26
9094,49947,Mihail Dedlist,01:25,Test Subject,"",,Cryopod,01:44
9095,49947,Semyon Hatsunov,00:38,Paramedic,"",,Disconnected,01:28
9096,49947,Colton Lord,00:57,Technical Assistant,"",,Disconnected,01:33
9097,49963,Dominic Robertson,00:01,Test Subject,"",,Cryopod,00:23
9098,49963,Jake Elliott,00:04,Chef,"",,Cryopod,00:32
9099,49963,Shon Mauler,00:00,Recycler,"",,Ghosted in Cryopod,00:51
9100,49963,Bob,00:00,MODE,Wizard,{Wizard},Ghosted,00:59
9101,49963,Edwin Teagarden,00:52,Paramedic,"",,Cryopod,01:27
9102,49963,Freddie Reed,00:00,Test Subject,"",,Ghosted in Cryopod,01:27
9183,49565,Mario Parkinson,00:00,Virologist,"",,Disconnected,01:41
9103,49963,Bob,00:00,MODE,Wizard,{Wizard},Ghosted,01:32
9104,49963,Marcus Arrow,00:03,Medical Doctor,"",,Cryopod,01:35
9105,49963,Jackson Taggart,00:00,Janitor,"",,Ghosted in Cryopod,01:36
9106,49963,Rash'shen Hirsh,00:13,Security Officer,"",,Cryopod,01:50
9107,49963,Isaiah Vader,00:47,Medical Intern,"",,Cryopod,01:55
9108,49963,Scott Woosh,00:21,Roboticist,Traitor,{Traitor},Ghosted,01:56
9109,49963,Zed Murray,00:23,Security Officer,"",,Cryopod,01:56
9110,49963,Jake Elliott,00:04,Chef,"",,Disconnected,00:10
9111,49963,Semyon Hatsunov,00:00,Security Officer,"",,Disconnected,00:23
9112,49963,Makskim Shomski,00:27,Quartermaster,"",,Disconnected,00:43
9113,49963,Isaiah Vader,00:47,Medical Intern,"",,Disconnected,00:48
9114,49963,Unbelievable God,00:55,Chaplain`s staff,"",,Disconnected,01:01
9115,49963,Katyusha Morozova,00:01,Security Officer,"",,Disconnected,01:13
9116,49963,Rube Williams,00:37,Forensic Technician,"",,Disconnected,01:20
9117,49963,Rash'shen Hirsh,00:13,Security Officer,"",,Disconnected,01:31
9118,49963,Ruslan Orudjov,01:27,Chief Medical Officer,"",,Disconnected,01:31
9119,49963,Adamantine Golem (738),00:38,default,"",,Disconnected,01:35
9120,49963,Arthur Richards,01:20,Xenoarchaeologist,"",,Disconnected,01:47
9121,49963,Harvey Jackson,00:00,Xenobiologist,"",,Disconnected,01:48
9122,49963,Gregory Jones,01:42,Mime,"",,Disconnected,01:55
9123,49578,Timothy Rahl,00:00,Test Subject,"",,Ghosted in Cryopod,00:00
9124,49578,Shagan Rock'Shur,00:00,Test Subject,"",,Ghosted in Cryopod,00:00
9125,49578,Kaylie Pennington,00:00,Scientist,"",,Ghosted in Cryopod,00:03
9126,49578,Timothy Rahl,00:00,Test Subject,"",,Cryopod,00:14
9127,49578,Shagan Rock'Shur,00:00,Test Subject,"",,Cryopod,00:14
9128,49578,Tamsin Winton,00:00,Medical Doctor,"",,Cryopod,00:16
9129,49578,Kaylie Pennington,00:00,Scientist,"",,Cryopod,00:18
9130,49578,Bryan James,00:00,Chef,"",,Cryopod,00:28
9131,49578,Zed Murray,00:11,Security Officer,"",,Cryopod,00:31
9132,49578,Shivi Soha'ru,00:28,Botanist,"",,Ghosted,00:40
9133,49578,Dorothy Woodward,00:00,Recycler,"",,Disconnected,00:26
9134,49578,Jose Bell,00:00,Botanist,"",,Disconnected,00:40
9135,49578,Stanislav Brokk,00:08,Xenoarchaeologist,"",,Disconnected,00:50
9136,49755,Ruben Foster,00:00,Roboticist,"",,Cryopod,00:21
9137,49755,Kane Ayron,00:00,Test Subject,"",,Cryopod,00:35
9138,49755,Skiddle,00:07,Clown,"",,Cryopod,01:10
9139,49755,Adolph Nastain,00:02,Test Subject,Revolutionary,{Revolutionary},Cryopod,01:13
9140,49755,Sergey Labuda,00:00,Technical Assistant,Revolutionary,{Revolutionary},Cryopod,01:15
9141,49755,Ann,00:00,default,"",,Ghosted,01:24
9142,49755,Alan Cake,00:01,Janitor,"",,Cryopod,01:31
9143,49755,Ibrahim Nagibov,00:00,Medical Doctor,"",,Cryopod,01:31
9144,49755,Cliff Nickolson,00:00,Atmospheric Technician,"",,Ghosted in Cryopod,01:35
9145,49755,Mark Murkenliebe,00:00,Paramedic,"",,Cryopod,01:37
9146,49755,Al'tira Sh'konsen,00:00,Shaft Miner,"",,Ghosted in Cryopod,01:40
9147,49755,Ali Ray,00:00,Mime,Revolutionary,{Revolutionary},Disconnected,00:13
9148,49755,Koil Welher,00:10,Security Cadet,"",,Disconnected,00:39
9149,49755,Maya Foxova,00:00,Xenobiologist,"",,Disconnected,00:44
9150,49755,Skiddle,00:07,Clown,"",,Disconnected,00:45
9151,49755,Adolph Nastain,00:02,Test Subject,Revolutionary,{Revolutionary},Disconnected,00:52
9152,49755,BRAIN,00:18,AI,"",,Disconnected,00:57
9153,49755,Gikakhayikati,00:00,Chef,Revolutionary,{Revolutionary},Disconnected,00:59
9154,49755,Fin MacDucke,00:53,Test Subject,"",,Disconnected,00:59
9155,49755,Isaiah Vader,00:00,Chief Medical Officer,"",,Disconnected,01:00
9156,49755,Danny Roby,00:24,Security Cadet,"",,Disconnected,01:27
9157,49755,Graeme Ulery,00:00,Botanist,Revolutionary,{Revolutionary},Disconnected,01:33
9158,49755,Roman Elinov,00:26,Test Subject,"",,Disconnected,01:37
9159,49755,Alexander Smith,01:35,Test Subject,"",,Disconnected,01:37
9160,49755,Kenneth Harrow,00:00,Xenobiologist,"",,Disconnected,01:38
9161,49565,Nick Lafortune,00:04,Security Officer,"",,Ghosted in Cryopod,00:06
9162,49565,Nick Lafortune,00:04,Security Officer,"",,Cryopod,00:21
9163,49565,Kaela Pratt,00:00,Station Engineer,"",,Ghosted in Cryopod,00:43
9164,49565,Clown,00:00,Clown,"",,Cryopod,00:47
9165,49565,Konstantin Belomorovish,00:00,Security Officer,"",,Ghosted,00:48
9166,49565,Kaela Pratt,00:00,Station Engineer,"",,Cryopod,00:58
9167,49565,Rose Willow,00:00,Mime,"",,Ghosted,01:00
9168,49565,Kane Ayron,00:00,Test Subject,"",,Cryopod,01:05
9169,49565,Rudolf Wolf,00:00,Scientist,"",,Cryopod,01:06
9170,49565,David Jones,00:00,Chief Engineer,"",,Ghosted in Cryopod,01:09
9171,49565,Rose Willow,00:00,Mime,"",,Cryopod,01:17
