id,root_id,crewscore,rating,stuffshipped,stuffharvested,oremined,researchdone,eventsendured,powerloss,mess,meals,disease,deadcommand,arrested,traitorswon,roleswon,allarrested,opkilled,disc,nuked,destranomaly,rec_antags,crew_escaped,crew_dead,crew_total,crew_survived,captain,powerbonus,messbonus,deadaipenalty,foodeaten,clownabuse,richestname,richestjob,richestcash,richestkey,dmgestname,dmgestjob,dmgestdamage,dmgestkey
618,49476,5647,Ambassadors of Discovery,0,9,1478,69,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,10,2,33,18,"",1,0,0,84,0,M'ark M'rshan,Roboticist,1647,Morkleb,Jay Miller,Detective,13,FeLJet
619,49534,3154,Promotions for Everyone,0,0,47,25,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,{Archie Moore},1,0,0,7,0,Bob Clifford,Cargo Technician,700,Redor,"","",0,""
620,49431,-3879,You're All Fired,2,4,446,55,0,12,4279,32,0,0,0,0,0,0,0,0,0,618,1,4,7,60,36,"",0,0,0,111,0,Homar Eden,Scientist,1080,Citizen and Station,Homar Eden,Scientist,20,Citizen and Station
621,50181,-15026,Singularity Fodder,18,324,3895,0,0,2,2300,3,0,0,0,0,3,0,0,0,1,0,0,0,69,68,0,"",0,0,1,98,71,"","",0,"","","",0,""
622,49709,7995,Ambassadors of Discovery,11,1050,1585,77,0,0,825,25,0,0,0,0,0,0,0,0,0,0,0,27,1,74,45,{Sharon Nash},1,0,0,213,38,Derreck Milne,Quartermaster,4960,Non.sugar,John Anderson,Internal Affairs Agent,22,Azri.Dreemurr
623,49713,8230,Ambassadors of Discovery,5,244,3310,63,0,0,624,7,0,0,0,0,0,0,0,0,0,0,0,20,0,57,33,{Yui Nisimura},1,0,0,144,0,Ivory Howard,Security Officer,27380,IrvingMcAll,Albina Steinau,Security Officer,62,M1sery
624,49577,2623,Promotions for Everyone,0,203,207,7,0,0,137,28,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,{Gennady Whiteman},1,0,0,16,0,"","",0,"","","",0,""
625,49994,3763,Promotions for Everyone,0,4,2790,44,0,0,386,7,0,0,0,0,0,0,0,0,0,0,0,0,10,41,22,{Gennady Whiteman},1,0,0,37,23,"","",0,"","","",0,""
626,49757,-1094,You're All Fired,6,222,829,15,0,9,665,28,0,0,0,0,1,0,0,0,0,0,0,0,8,55,46,{Isaiah Vader},0,0,0,28,84,"","",0,"","","",0,""
627,49748,9653,Ambassadors of Discovery,4,0,5445,65,0,0,362,4,0,0,0,0,0,0,0,0,0,0,0,2,1,21,8,"",1,0,0,60,47,Max Russell,Scientist,1415,Foxiq,Kshchis'sar Nsia,Shaft Miner,10,DarkDragos
628,49991,9427,Ambassadors of Discovery,0,23,5119,61,0,0,455,8,0,0,0,0,0,0,0,0,0,217,0,15,0,36,21,"",1,0,0,95,36,Colton Moore,Xenoarchaeologist,7230,Robicod,Ni'rr Mo'orrishi,Shaft Miner,3,D_vuar
629,49538,3987,Promotions for Everyone,2,3,45,46,0,0,381,8,0,0,0,0,0,0,0,0,0,0,0,10,0,15,16,"",1,0,0,35,0,Brittany Ray,Medical Doctor,1428,Individuum135,Osbert Thomlinson,Station Engineer,57,La_zurit_48
630,49959,-3603,You're All Fired,1,0,598,10,0,21,1471,0,0,0,0,0,0,0,0,0,0,0,0,1,10,17,4,"",0,0,0,6,20,"","",0,"","","",0,""
631,50003,4758,Promotions for Everyone,0,3,1452,81,0,0,1172,39,0,0,0,0,0,0,0,0,0,0,0,14,4,59,40,{Arleen Morris},1,0,0,116,35,Arleen Morris,Captain,1770,StepanZZZ,Mysok Hawkins,Security Cadet,15,VVedL
632,49945,4410,Promotions for Everyone,2,24,5,50,0,0,294,25,0,0,0,0,0,0,0,0,0,0,0,16,0,21,21,"",1,0,0,49,6,Ruben Foster,Scientist,1260,JustChel,Karlos Lopes,Botanist,8,Dojoan
633,49536,-3881,You're All Fired,0,0,0,7,0,117,331,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,"",0,0,0,0,0,"","",0,"","","",0,""
634,49960,1614,Promotions for Everyone,0,0,2400,7,0,22,251,3,0,0,0,0,0,0,0,0,0,0,0,6,1,30,13,"",0,0,0,30,39,Solveig Potter,Medical Doctor,19300,Rumpitur,Alexander Rockwell,Shaft Miner,0,JustChel
