id,root_id,name,assigned_role,special_role,antag_roles
10068,49579,Morgan Whitehand,Internal Affairs Agent,"",
224,49284,Curly Mens,Detective,"",
225,49284,Kenneth Harrow,Shaft Miner,"",
226,49284,Tihahatayatikikahta,MODE,Vox Raider,{Vox Raider}
227,49284,Vladimir Nesterenko,Chaplain,"",
228,49284,Pavel Lemsky,Shaft Miner,"",
229,49284,Yakichayakahyaya,MODE,Vox Raider,{Vox Raider}
230,49284,Alexander Sidorov,Xenoarchaeologist,"",
231,49284,Rodrigo Zaun,Technical Assistant,"",
232,49284,Kaylie Pennington,Security Officer,"",
233,49284,Theodore Glasgow,Captain,"",
234,49284,Jose Butterfill,Medical Doctor,"",
235,49284,Archie Moore,Head of Personnel,"",
236,49284,Chichata,MODE,Vox Raider,{Vox Raider}
237,49284,Rurohito Hattatori,Chief Medical Officer,"",
238,49284,Dorothy Woodward,Chemist,"",
239,49284,Dustin Namos,Test Subject,"",
240,49284,Redrich Swarner,Barber,"",
241,49284,Vincent Rahl,Test Subject,"",
242,49284,Lion Remark,Medical Intern,"",
243,49284,Ward Best,Librarian,"",
244,49284,Georg Selinof,Xenoarchaeologist,"",
245,49284,Amshi Ammurio,Cargo Technician,"",
246,49284,Brodie McDonald,Bartender,"",
247,49284,Oldman Kirsan,Recycler,"",
248,49284,mouse (883),Animal,"",
249,49284,CHRI-584,Cyborg,"",
250,49284,Dar'zahr,Medical Doctor,"",
251,49284,Jesus Exery,Security Officer,"",
252,49284,maintenance drone (110),Cyborg,"",
253,49284,Ulishahs Oshus,Atmospheric Technician,"",
254,49284,Radik Kuzakin,Head of Security,"",
255,49284,Reuben Hunt,Security Officer,"",
256,49284,Sivean Doulson,Janitor,"",
257,49284,Aurili Septemus,Test Subject,"",
258,49284,Jack Carter,Test Subject,"",
259,49284,Aphelios Tildor,Test Subject,"",
260,49284,Unbelievable God,Chaplain`s staff,"",
261,49284,CHRI-903,Cyborg,"",
262,49284,maintenance drone (471),Cyborg,"",
263,49284,Bryan Lineman,Psychiatrist,"",
264,49284,Anatoly Oktyabrsky,Technical Assistant,"",
265,49284,maintenance drone (419),Cyborg,"",
266,49284,Alex King,Mime,"",
267,49284,Connor Moore,Security Officer,"",
268,49284,Shahedron Evulir,Technical Assistant,"",
269,49284,XSI-662,Cyborg,"",
270,49284,Leon Churchill,Paramedic,"",
271,49284,Kailyn Braun,Chef,"",
272,49284,Brodie McDonald,Test Subject,"",
273,49284,Franklin Zimmer,Test Subject,"",
274,49284,Cliff Osteen,Scientist,"",
275,49284,mouse (838),Animal,"",
276,49284,Richard Sidner,Test Subject,"",
277,49284,maintenance drone (737),Cyborg,"",
278,49284,mouse (784),Animal,"",
279,49284,Troy Orgail,Botanist,"",
280,49284,Cy Black,Medical Intern,"",
281,49284,maintenance drone (924),Cyborg,"",
282,49284,Artem Byblikov,Xenobiologist,"",
283,49284,maintenance drone (303),Cyborg,"",
284,49284,Marco Holmes,Security Officer,"",
285,49284,Camryn Seelig,Cargo Technician,"",
286,49284,Nick Fox,Test Subject,"",
287,49285,Theodore Glasgow,Captain,"",
288,49285,Nick Fox,Technical Assistant,"",
289,49285,Merk Asacris,Cyborg,"",
290,49285,Artem Byblikov,slime,"",
291,49285,Troy Orgail,Botanist,"",
292,49285,Natalia Koneva,Recycler,"",
293,49285,Jack Armchairovich,Bartender,"",
294,49285,Cliff Osteen,Head of Personnel,"",
295,49285,alien queen (326),Alien,Queen,{Xenomorph}
296,49285,Aramsha Jarmack,Cargo Technician,"",
7633,49505,Fanzilia Clark,Medical Doctor,"",
