id,role_id,total_tc,spent_tc
216,989,20,0
217,991,20,0
218,992,20,2
219,999,20,20
220,1000,28,25
221,1001,20,0
222,1020,20,0
223,1021,20,0
224,1022,28,0
225,1023,20,6
226,1024,28,6
227,1025,28,11
228,1026,28,23
229,1027,20,2
230,1028,20,258
231,1029,20,0
232,1030,20,0
233,1031,20,0
234,1032,20,0
235,1033,20,0
236,1034,0,0
237,1035,20,14
238,1040,20,0
239,1041,20,18
240,1042,20,11
241,1043,20,20
242,1050,20,2
243,1052,28,28
244,1053,20,16
245,1054,0,0
246,1055,20,20
247,1056,20,20
248,1059,20,0
249,1072,20,20
250,1073,20,14
251,1074,20,10
252,1079,20,19
253,1080,20,19
254,1081,20,0
255,1082,20,0
256,1083,20,0
257,1084,20,20
258,1085,52,309
259,1086,20,0
260,1087,20,0
261,1088,20,8
262,1089,20,0
263,1091,20,18
264,1092,20,0
265,1093,20,0
266,1094,20,17
267,1095,20,28
268,1112,20,18
269,1113,20,20
270,1114,28,28
271,1115,20,0
272,1116,20,20
273,1117,28,20
274,1118,0,0
275,1119,20,13
276,1120,28,5
277,1121,20,19
278,1151,28,10
279,1152,20,20
280,1153,20,5
281,1154,20,0
282,1155,20,0
283,1156,28,0
284,1157,28,0
285,1158,20,0
286,1205,131,119
287,1206,100,39
288,1208,20,0
289,1209,20,20
290,1212,28,18
291,1214,20,0
292,1215,20,0
293,1216,20,8
294,1217,0,0
295,1220,28,26
296,1221,20,6
297,1253,20,19
298,1254,20,0
299,1255,20,247
300,1256,20,0
301,1257,20,0
302,1258,20,0
303,1259,20,0
304,1260,20,0
305,1261,0,0
306,1262,20,16
307,1263,25,15
308,1264,20,5
309,1265,20,0
310,1266,28,23
311,1267,20,20
312,1268,28,7
313,1269,28,20
314,1270,28,0
315,1271,20,18
316,1272,20,33
317,1273,20,20
318,1280,20,7
319,1283,20,0
320,1291,20,0
321,1292,20,0
322,1293,20,0
323,1294,20,0
324,1295,20,0
325,1296,20,0
326,1297,20,284
327,1298,20,12
328,1300,20,0
329,1301,0,0
330,1302,20,0
331,1303,20,8
332,1304,20,20
333,1332,35,35
334,1333,10,10
335,1338,20,0
336,1352,20,20
337,1354,28,26
338,1355,20,20
339,1356,20,7
340,1363,20,6
341,1364,20,7
342,1368,20,12
343,1369,20,15
344,1373,28,16
345,1374,20,16
346,1376,20,14
347,1377,20,18
348,1406,20,20
349,1407,0,0
350,1408,20,0
351,1419,20,6
352,1422,28,5
353,1424,20,20
354,1425,20,0
355,1426,20,0
356,1427,20,0
357,1428,20,20
358,1429,28,6
359,1430,28,20
360,1431,20,9
361,1432,20,20
362,1433,20,8
363,1440,28,28
364,1441,20,16
365,1451,28,28
366,1452,20,14
367,1453,20,6
368,1454,20,20
369,1455,28,28
370,1456,20,2
371,1463,20,18
372,1464,20,20
373,1465,20,15
374,1472,20,9
375,1473,20,0
376,1475,20,6
377,1476,20,19
378,1477,20,16
379,1478,20,264
380,1479,20,0
381,1480,20,0
382,1481,20,0
383,1482,20,0
384,1483,20,0
385,1484,20,0
386,1491,20,16
387,1492,20,49
388,1493,20,20
