owner_id,id,name,role_name,is_roundstart_role,type,victory,faction_name,mind_name,mind_ckey
14,31,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (692),xazard
14,32,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (46),grozaandgrom
14,33,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien larva (252),akakiyfrix
14,34,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (593),hopelesssoul
14,35,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien larva (128),grozaandgrom
14,36,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien sentinel (735),xazard
14,37,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (939),foxiq
14,38,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien larva (944),hopelesssoul
14,39,Xenomorph,Xenomorph,0,/datum/role/alien,1,Alien Hivemind,alien facehugger (983),sheoleo
206,874,Blob Cerebrate,Blob Cerebrate,0,/datum/role/blob_overmind/cerebrate,1,Blob Conglomerate,Blob Overmind (577),maydoreynolds
206,875,Blob Cerebrate,Blob Cerebrate,0,/datum/role/blob_overmind/cerebrate,1,Blob Conglomerate,Blob Overmind (429),grozaandgrom
207,876,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Leroy White,ss0804
208,877,Nuclear Operative Leader,Nuclear Operative Leader,1,/datum/role/operative/leader,1,Syndicate Operatives,Vincent Rahl,citizenandstation
208,878,Nuclear Operative,Nuclear Operative,1,/datum/role/operative,1,Syndicate Operatives,M'ark M'rshan,morkleb
208,879,Nuclear Operative,Nuclear Operative,1,/datum/role/operative,1,Syndicate Operatives,Jung Prods,prodocopter
208,880,Nuclear Operative,Nuclear Operative,1,/datum/role/operative,1,Syndicate Operatives,Zach'ary S'eelig,deahaka
208,881,Nuclear Operative,Nuclear Operative,1,/datum/role/operative,1,Syndicate Operatives,Lim Al-Kuds,steklianniiork
208,882,Nuclear Operative,Nuclear Operative,1,/datum/role/operative,1,Syndicate Operatives,Vladimir Nesterenko,mentaleater
293,1207,Wizard,Wizard,1,/datum/role/wizard,0,Wizard Federation,The Space-Time Controller,steklianniiork
294,1208,Traitor,Traitor,0,/datum/role/traitor,1,Traitor,Max Russell,foxiq
294,1209,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Arleen Morris,stepanzzz
295,1210,Cultist,Cultist,0,/datum/role/cultist,1,Cult Of Blood,Harvester (283),duckdok
295,1211,Cultist,Cultist,0,/datum/role/cultist,1,Cult Of Blood,Wraith (967),richilakroch
296,1212,Traitor,Traitor,1,/datum/role/traitor,1,Traitor,Fanzilia Clark,fah3ujib
861,3395,Wizard,Wizard,1,/datum/role/wizard,0,Wizard Federation,Nobody,rombik
862,3396,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Cristian Blyant,david123321
862,3397,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Ruben Foster,justchel
863,3398,Blob Overmind,Blob Overmind,0,/datum/role/blob_overmind,1,Blob Conglomerate,Blob Overmind (362),vipo24
298,1213,Wizard,Wizard,1,/datum/role/wizard,0,Wizard Federation,Zagyg the Sorcelator,sirmoon
208,883,Nuclear Operative,Nuclear Operative,0,/datum/role/operative,1,Syndicate Operatives,Syndicate Robot-87,balphagore
209,884,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Fanzilia Clark,fah3ujib
209,885,Traitor,Traitor,0,/datum/role/traitor,0,Traitor,Steve Anderson,pimap
49436,886,Traitor,Traitor,0,/datum/role/traitor/syndcall,0,"",Kaylie Pennington,stepansamp228pos
210,887,Head Revolutionary,Head Revolutionary,1,/datum/role/rev_leader,1,Revolution,John Gardner,billlee
210,888,Head Revolutionary,Head Revolutionary,1,/datum/role/rev_leader,1,Revolution,Drill Gnoos,grozaandgrom
210,889,Revolutionary,Revolutionary,0,/datum/role/rev,1,Revolution,Oldman Kirsan,pasha2oo
210,890,Revolutionary,Revolutionary,0,/datum/role/rev,1,Revolution,Hoshash Lushita,individuum135
