id,deaths_id,brute,fire,toxin,oxy,clone,brain
337,370,0,0,0,0,0,20
338,371,195,120,0,0,0,0
339,372,40.1,93,38,29.1185,0,0
340,373,0,0,86,114.666,0,20
341,374,222.2,0,0,12.3333,0,0
342,375,0,145.4,52,4.66667,0,0
343,376,0,50,54,101,0,0
344,377,0,0,0,0,0,70
345,378,160.6,6,9,29.6602,0,0
346,379,0,0,0,0,0,20
347,380,0,0,0,200,0,0
348,385,0,36.01,62.3138,105.667,2,2
349,386,16.7,138,8,38.6667,0,0
350,387,0,189,5,9.33333,0,0
351,388,24.5,169.8,0,9.33333,0,0
352,389,158.7,0,14.05,27.3333,0,20
353,390,190.7,0,0,18.3333,0,70
354,391,89.6,82.6,0,125,0,20
355,392,0,111,59,31.6667,0,0
356,393,35.8,0,36,3,0,0
357,394,9.3,153,0,40.3296,0,0
358,395,0,114,0,86.6666,0,0
359,396,0,0,122.799,77.3333,0,20
360,397,0,112.7,56,33.6667,0,0
361,398,36,0,20,0,0,0
362,399,38,0,26,0,0,0
363,400,0,200,0,0.666667,0,20
364,401,0,200,0,0,0,0
365,402,0,100,20,69,12,0
366,403,0,100,0,0,27,0
367,404,0,0,168.5,13,20,0
368,405,100,40,29.5,38.503,0,0
369,406,180,0,2.5,33,0,0
370,407,160,0,13.3,59.3333,0,0
371,408,66,132,0,4.66667,0,0
372,409,0,180.3,13.5,8,0,0
373,410,187,0,0,16,0,0
374,411,200,0,0,0.666667,0,70
375,412,109.7,0,0,159.333,0,20
376,413,202.5,0,0,2.66667,0,70
377,414,70,0,0,134.667,0,0
378,415,6,0,0,195,0,80
379,416,0,153,5,43.0176,0,0
380,417,161.5,0,0,200,0,20
381,418,0,50,0,150.447,0,0
382,419,39,87,35,44.3333,0,0
383,420,198.4,0,16,4,0,70
384,421,21.2,0,61,125,0,0
385,422,25,162,0,21.3333,0,0
386,423,51.8,108,0,40.6667,0,0
387,424,136,11.7,0,54,0,0
388,425,175,9.8,0,26.3333,0,0
389,426,287,15,0,0,0,0
390,427,208.9,0,0,2,0,20
391,428,182.5,0,0,18.3333,0,20
392,429,0,0,45.75,0,0,0
393,430,5.6,0,34.55,0.666667,0,20
394,431,0,0,0,17,0,20
395,434,15.9,178.7,1,6,0,0
396,435,0,195,0,6,0,0
397,436,113.5,72,0,17.6667,0,0
398,437,227.5,0,5,2,0,70
399,438,175,0,0,25.3333,0,70
400,439,171.3,0,0,37.3333,0,20
401,440,200,0,0,1.33333,0,70
402,441,0,224.8,0.15,4.33333,0,0
403,442,3.3,138,0,61.9582,0,0
404,443,181.6,0,0,20.6667,0,20
405,444,0,0,0,0,0,20
406,445,197.9,2,0,4.66667,0,70
407,446,38.1,73.4,0,4.66667,0,70
408,447,0,0,84,121,0,0
409,448,210.6,54,0,62.3333,0,0
410,449,0,241.2,0,32.3333,0,0
411,450,208.1,0,0,2,0,70
412,451,0,0,0,200,0,0
413,452,0,0,0,200,0,0
414,453,45,148,0,9.33333,0,0
415,454,0,111,61,31.6667,0,0
416,455,0,95.5,61,31.6667,0,0
417,456,333.3,54,0,62.3333,0,70
418,457,186.7,15.6,0,0,0,0
419,458,151.2,658.2,0,61.9582,0,70
420,459,23.8,169.8,0,9.33333,0,0
421,462,0,0,199.5,2,0,0
422,465,30,0,0,0,0,0
423,466,0,99,103,0,0,0
424,470,0,0,79.5957,125,0,0
425,471,0,50,54,101,0,0
426,472,0,0,77,127,0,0
427,475,0,111,56,33.6667,0,0
428,476,0,156,0,47.3334,0,0
429,477,39.1,155,0,9.33333,0,0
430,478,0,126,52,24.6667,0,0
431,479,305,0,0,0,0,0
432,480,55.2,115.2,3,27.3333,0,0
433,481,55.2,124.2,0,21,0,20
434,482,21.3,136.2,0,43.6107,0,0
435,483,1.2,160.2,0,41.1377,0,0
436,484,55,125.8,9,12,0,0
437,485,0,30.5,0,7.82922,0,0
438,486,20.9,159,15,8.66667,0,0
439,489,0.2,0,5,0,0,0
440,490,0.2,0,5,0,0,0
441,492,7.2,17,56.5,123.833,0,0
442,493,0,194.2,10,3.66667,0,0
443,494,0,138.6,5,56.6667,0,0
444,495,0,260,0,0,0,0
445,497,16.5,85.5,59,39.3333,0,0
446,498,70.2,0,87,43,0,0
447,499,0,0,148,52.3334,0,71.9645
448,502,51.6,120,0,29.6667,0,0
449,503,71.7,41.3,0,87.5,0,0
450,504,0,168,0,34.3333,0,0
451,505,0,290,0,11.6667,0,0
452,506,0,149,0,59.8333,0,10.4133
453,507,66.2,0,33,106.667,0,20
454,508,63.09,0.2,27,112,0,0
455,509,0,275.4,0,11,0,0
456,510,53.83,0,47.5556,102.833,0,45.3689
457,511,16.23,0,54.3271,133.5,0,0.871094
458,512,0,243.8,3,17.3333,0,0
459,513,0,225,0,10.3333,0,0
460,514,114,0,0,87.6471,0,0
461,515,162.5,0,0,37.6667,0,20
462,516,34.8,0,42,126,0,0
463,517,185.8,0,1,15.6667,0,0
464,518,0,240,3,31.6667,0,0
465,519,0,280,0,3.66667,0,0
466,520,0,47,54,100.333,0,0
467,521,0,260,0,0,0,0
468,522,199,2,0,0.666667,0,70
469,523,239,0,0,2,0,70
470,524,0,201.6,0,3.66667,0,0
471,525,0,0,62.0252,138,0,0
472,526,0,154.8,0,47.3334,0,0
473,527,0,47,54,101,0,0
474,528,188,0,3,16.6667,0,0
475,529,224,0,0,3.66667,0,0
476,530,236,0,3,16.6667,0,0
477,531,300,40,0,0,0,0
478,532,201.5,0,1,3.33333,0,70
479,533,0,40,0,0,0,0
480,534,122,54,6,21.4124,0,0
481,539,470.6,49,0,0.666667,0,0
482,540,121.1,76.7,0,3,0,0
483,541,0,0,200,53,0,0
484,542,62.4,117,0,23.3333,0,0
485,543,0,30,0,0,0,0
486,544,90.5,46.4,46.5,198.5,0,0
487,545,147.2,53.8,0,24.6667,0,0
488,546,151.2,58,0,2.66667,0,0
489,547,144,65,0,2.66667,0,0
490,548,119,68.9,0,23.3333,0,0
491,549,144.7,67.6,0,3.33333,0,0
492,550,155.8,48.9,0,2.66667,0,0
493,551,140.3,60.9,0,25.8333,0,0
494,552,141.6,67.2,0,2.66667,0,0
495,553,111,80,0,13.9821,0,0
496,554,203.53,0,0,0,0,0
497,555,110.2,18,0,72.3676,0,0
498,556,61,136,0,5.33333,0,0
499,557,61.2,134,0,7.47094,0,0
500,558,86.1,108,0,7.33333,0,0
501,559,203.67,0,0,0,0,0
502,560,57.6,139.5,0,7.33333,0,0
503,561,0,200,0,0,0,0
504,562,36.1,160.8,0,4,0,0
505,563,34.9,161.3,0,4.66667,0,0
506,564,58.5,105.9,5.15,29.0737,2,0
507,565,101.5,26.8,0,72,0,0
508,566,19.9,167,7,6.66667,0,0
509,567,9.9,171.9,0,21.6667,0,0
510,568,180,0,0,0,0,0
511,569,16.8,0,0,186,0,0
512,571,0,0,84,122.333,0,0
513,572,150,50,0,23.3333,0,0
514,573,154.2,38,0,11.6667,0,25.44
515,574,148.4,21.2,0,31.3333,0,25.44
516,575,0,220.8,0,11.6667,0,0
517,577,0,0,0,3.82822,0,20
518,578,231.8,0,0,4.66667,0,0
519,579,195.9,0,0,17.6667,0,70
520,580,0,0,0,0,0,20
521,581,216.9,0,0,2,0,20
522,582,0,171,0,32.3333,0,0
523,583,0,0,132,72.3333,0,0
524,584,210,0,0,1.33333,0,20
525,585,0,223.9,0,3.66667,0,0
526,586,159.9,62,0,1.33333,0,20
527,587,310,15,0,0,0,0
528,588,219.4,0,0,6,0,0
529,589,60,135.6,8.4,2,0,0
530,590,18.9,176.4,12.5,5.66667,0,0
531,591,0,180.7,8.25,15.1202,0,0
532,592,20.1,159.9,0,20.8382,0,0
533,593,60.7,124.8,0,17,0,0
534,594,28.8,166.3,3.15,5.66667,0,0
535,595,19.5,185.8,0,0,0,0
536,596,0,179,0,21.6667,0,0
537,597,90,104.4,0,7.33333,0,0
538,598,115,91.7,0,18,0,20
539,599,310,0,0,0,0,0
540,600,0,0,61.2499,140,0,20
541,601,166,0,10,27,0,0
542,602,46,0,28,0,0,0
543,603,90.7,90,0,19.6667,0,0
544,604,140.5,18,15,29.3333,0,0
545,605,156.2,0,9.5,36.1667,0,18.6045
546,606,2.3,0,90,108,0,70
547,607,201,0,0,2.66667,0,0
548,608,100,0,0,100.667,0,0
549,609,39.6,0,30,0,0,0
550,610,0,9,34.9831,160.667,0,140
551,611,0.6,192,0,9.33333,0,0
552,612,60,138.4,0,2.66667,0,0
553,613,3,0,61.2499,140,0,20
554,614,193.4,0,0,23,0,70
555,615,21.7,141,0,37.4907,0,0
556,616,20.1,144,0,39.1573,0,0
557,617,43,0,15,0,0,0
558,618,192,0,0,20,0,20
559,619,41,24.6,0,3.5,0,13.68
560,620,0,174.8,0,26.5,0,0
561,621,169.89,9,0,21.5,0,40
562,622,164.6,33,0,6,0,20
563,623,167.99,9,0,23,0.2,40.2
564,624,174,0,0,26.6667,0,69.0667
565,625,88.2,0,4.5,107.667,0,0
566,626,90.2,0,10.5,100,0,0
567,627,180,0,5,15,0,20
568,628,65.6,0,16,0,0,0
569,629,19.25,14.6,0,23,7.79999,97.8
570,630,41,0,16,0,0,0
571,631,18,0,13,0,0,0
572,632,43,0,6,0,0,0
