root_id,id,name,faction_name,minor_victory,type,victory
49837,765,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49837,766,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49837,767,Borer Hivemind,Borer Hivemind,0,/datum/faction/borers,0
49838,768,Alien Hivemind,Alien Hivemind,0,/datum/faction/infestation,0
49838,769,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49838,770,Emergency Response Team,Emergency Response Team,0,/datum/faction/strike_team/ert,1
49840,771,Syndicate Operatives,Syndicate Operatives,0,/datum/faction/nuclear,0
49840,772,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49841,773,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49841,774,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49843,775,Vox Shoal,Vox Shoal,0,/datum/faction/heist,0
49843,776,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49843,777,Alien Hivemind,Alien Hivemind,0,/datum/faction/infestation,0
49844,778,Vox Shoal,Vox Shoal,0,/datum/faction/heist,0
49844,779,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49844,780,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,1
49851,781,Vox Shoal,Vox Shoal,0,/datum/faction/heist,0
49851,782,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49857,783,Malf AI,Malf AI,0,/datum/faction/malf_silicons,1
49857,784,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49857,785,Blob Conglomerate,Blob Conglomerate,0,/datum/faction/blob_conglomerate,1
49858,786,Vox Shoal,Vox Shoal,0,/datum/faction/heist,1
49858,787,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49860,788,Traitors,Traitor,0,/datum/faction/traitor,0
49860,789,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49861,790,Malf AI,Malf AI,0,/datum/faction/malf_silicons,1
49861,791,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49863,792,Traitors,Traitor,0,/datum/faction/traitor,0
49863,793,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49863,794,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,1
49869,795,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49869,796,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49870,797,Traitors,Traitor,0,/datum/faction/traitor,1
49870,798,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49871,799,Zobmies,Zobmies,0,/datum/faction/zombie,0
49874,800,Changeling Hivemind,Changeling Hivemind,0,/datum/faction/changeling,0
49874,801,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49878,802,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49878,803,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49882,804,Traitors,Traitor,0,/datum/faction/traitor,1
49882,805,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49883,806,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49883,807,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49883,808,Blob Conglomerate,Blob Conglomerate,0,/datum/faction/blob_conglomerate,1
49884,809,Malf AI,Malf AI,0,/datum/faction/malf_silicons,1
49884,810,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49885,811,Traitors,Traitor,0,/datum/faction/traitor,0
49885,812,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49889,813,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49889,814,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49890,815,Revolutionaries,Revolution,0,/datum/faction/revolution,0
49890,816,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49890,817,Blob Conglomerate,Blob Conglomerate,0,/datum/faction/blob_conglomerate,0
49891,818,Traitors,Traitor,0,/datum/faction/traitor,0
49891,819,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49892,820,Mothership Lambda,Abductor Team,0,/datum/faction/abductors,0
49892,821,Mothership Pi,Abductor Team,0,/datum/faction/abductors,0
49892,822,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49892,823,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,1
49893,824,Traitors,Traitor,0,/datum/faction/traitor,0
49893,825,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49894,826,Vox Shoal,Vox Shoal,0,/datum/faction/heist,1
49894,827,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49895,828,Vox Shoal,Vox Shoal,0,/datum/faction/heist,0
49895,829,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49896,830,Traitors,Traitor,0,/datum/faction/traitor,0
49896,831,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49898,832,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,1
49898,833,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49899,834,Syndicate Operatives,Syndicate Operatives,0,/datum/faction/nuclear,0
49899,835,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49901,836,Cult Of Blood,Cult Of Blood,0,/datum/faction/cult,0
49901,837,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49902,838,Traitors,Traitor,0,/datum/faction/traitor,0
49902,839,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49903,840,Alien Hivemind,Alien Hivemind,0,/datum/faction/infestation,0
49903,841,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49906,842,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,0
49906,843,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49908,844,Traitors,Traitor,0,/datum/faction/traitor,1
49908,845,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49911,846,Traitors,Traitor,0,/datum/faction/traitor,1
49911,847,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49915,848,Syndicate Operatives,Syndicate Operatives,0,/datum/faction/nuclear,1
49915,849,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,0
49916,850,Traitors,Traitor,0,/datum/faction/traitor,1
49916,851,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49917,852,Vox Shoal,Vox Shoal,0,/datum/faction/heist,1
49917,853,AutoTraitors,Traitor,0,/datum/faction/traitor/auto,1
49918,854,Wizard Federation,Wizard Federation,0,/datum/faction/wizards,1
