id,uplink_info_id,cost,bundlename,item_type
489,182,5,Thermal Imaging Glasses,/obj/item/clothing/glasses/thermal/syndi
490,182,5,Syndicate Medical Small Kit,/obj/item/weapon/storage/firstaid/small_firstaid_kit/combat
491,183,14,Syndicate drone,/obj/item/weapon/storage/box/syndie_kit/drone
492,184,7,Compressed Implant,/obj/item/weapon/implanter/storage
493,184,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
494,184,1,Sy-Code Book,/obj/item/weapon/syndcodebook
495,184,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
496,184,1,Sy-Code Book,/obj/item/weapon/syndcodebook
497,184,1,Sy-Code Book,/obj/item/weapon/syndcodebook
498,184,1,Sy-Code Book,/obj/item/weapon/syndcodebook
499,184,1,Sy-Code Book,/obj/item/weapon/syndcodebook
500,185,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
501,185,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
502,185,5,Chameleon-Projector,/obj/item/device/chameleon
503,185,1,Composition C-4,/obj/item/weapon/plastique
504,186,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
505,186,1,Composition C-4,/obj/item/weapon/plastique
506,186,2,Detomatix PDA Cartridge,/obj/item/weapon/cartridge/syndicate
507,188,14,Syndicate drone,/obj/item/weapon/storage/box/syndie_kit/drone
508,188,3,Binary Translator Key,/obj/item/device/encryptionkey/binary
509,188,3,Voice Changer,/obj/item/clothing/mask/gas/voice
510,189,7,Compressed Implant,/obj/item/weapon/implanter/storage
511,189,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
512,189,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
513,190,1,Composition C-4,/obj/item/weapon/plastique
514,190,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
515,190,3,EMP Implant,/obj/item/weapon/storage/box/syndie_kit/imp_emp
516,190,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
517,193,1,Biogel can,/obj/item/device/biocan
518,193,8,TR-8-R Revolver,/obj/item/weapon/gun/projectile/revolver/traitor
519,193,2,Chameleon Kit,/obj/item/weapon/storage/box/syndie_kit/chameleon
520,194,2,Syndicate Encryption Key,/obj/item/device/encryptionkey/syndicate
521,194,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
522,194,7,Energy Sword,/obj/item/weapon/melee/energy/sword/traitor
523,194,4,EMP Flashlight,/obj/item/device/flashlight/emp
524,194,1,Smuggler's Satchel,/obj/item/weapon/storage/backpack/satchel/flat
525,196,7,Compressed Implant,/obj/item/weapon/implanter/storage
526,196,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
527,196,4,Agent Identification card,/obj/item/weapon/card/id/syndicate
528,197,5,Thermal Imaging Glasses,/obj/item/clothing/glasses/thermal/syndi
529,197,4,EMP Flashlight,/obj/item/device/flashlight/emp
530,197,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
531,197,2,Detomatix PDA Cartridge,/obj/item/weapon/cartridge/syndicate
532,197,2,Dart Pistol,/obj/item/weapon/gun/syringe/syndicate
533,201,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
534,201,4,Agent Identification card,/obj/item/weapon/card/id/syndicate
535,201,8,TR-7 Revolver,/obj/item/weapon/gun/projectile/revolver
536,201,2,9mm Handgun Magazine,/obj/item/ammo_box/magazine/m9mm
537,202,7,Drop Pod,/obj/item/device/drop_caller/Syndi
538,202,7,Drop Pod,/obj/item/device/drop_caller/Syndi
539,202,7,Drop Pod,/obj/item/device/drop_caller/Syndi
540,202,6,Simple Drop System,/obj/item/weapon/simple_drop_system
541,202,6,Simple Drop System,/obj/item/weapon/simple_drop_system
542,202,6,Simple Drop System,/obj/item/weapon/simple_drop_system
543,202,2,Camera Bug,/obj/item/device/camera_bug
544,202,2,Camera Bug,/obj/item/device/camera_bug
545,202,2,Camera Bug,/obj/item/device/camera_bug
546,202,8,Syndi Rig,/obj/item/weapon/storage/box/syndie_kit/rig
547,202,8,Syndi Rig,/obj/item/weapon/storage/box/syndie_kit/rig
548,202,8,Syndi Rig,/obj/item/weapon/storage/box/syndie_kit/rig
549,202,8,Syndi Rig,/obj/item/weapon/storage/box/syndie_kit/rig
550,202,5,Syndi Assault Armor,/obj/item/weapon/storage/box/syndie_kit/armor
551,202,5,Syndi Assault Armor,/obj/item/weapon/storage/box/syndie_kit/armor
552,202,5,Syndi Assault Armor,/obj/item/weapon/storage/box/syndie_kit/armor
553,202,14,Singularity Beacon,/obj/item/device/radio/beacon/syndicate
554,202,6,Adrenaline Implant,/obj/item/weapon/storage/box/syndie_kit/imp_adrenaline
555,202,6,Adrenaline Implant,/obj/item/weapon/storage/box/syndie_kit/imp_adrenaline
556,202,6,Adrenaline Implant,/obj/item/weapon/storage/box/syndie_kit/imp_adrenaline
557,202,6,Adrenaline Implant,/obj/item/weapon/storage/box/syndie_kit/imp_adrenaline
558,202,6,Adrenaline Implant,/obj/item/weapon/storage/box/syndie_kit/imp_adrenaline
559,202,1,Full Syndicate Toolbox,/obj/item/weapon/storage/toolbox/syndicate
560,202,6,Cryptographic Sequencer,/obj/item/weapon/card/emag
561,202,10,Syndicate Medical Supply Kit,/obj/item/weapon/storage/firstaid/tactical
562,202,5,EMP Grenades,/obj/item/weapon/storage/box/emps
